,Appellation,Robert,Robinson,Suckling,Prix
420,Pauillac,89.0,16,95.0,50.00
421,Pomerol,,,90.0,33.00
422,Pomerol,91.5,,93.0,63.00
423,Haut-Médoc,,,91.5,11.33
424,Margaux,96.0,17,98.0,79.00
425,Haut-Médoc,86.0,16,95.0,35.00
426,Saint-Julien,88.0,16.5,94.0,89.00
427,Pauillac,,,91.5,32.25
428,Castillon Côtes de Bordeaux,91.0,16,,50.00
429,Margaux,91.0,17,94.0,62.42
430,Saint-Estèphe,,16.5,95.0,49.00
431,Médoc,91.0,16.5,96.0,30.67
432,Saint-Estèphe,92.0,16,94.0,43.00
433,Castillon Côtes de Bordeaux,,,,45.67
434,Pauillac,97.0,17,96.0,310.00
435,Sauternes,96.0,18.5,98.0,375.00
436,Pessac-Léognan,92.0,16,95.0,39.50
437,Pomerol,91.0,16,97.0,57.17
438,Haut-Médoc,87.0,16.5,90.0,19.92
439,Saint-Emilion,91.0,16.5,91.5,31.50
440,Saint-Emilion,93.0,17,93.0,125.00
441,Listrac,91.0,16,90.5,16.33
442,Haut-Médoc,91.0,,94.5,33.00
443,Fronsac,90.0,15.5,92.0,24.00
444,Pomerol,91.0,17.5,93.0,130.00
445,Sauternes,94.0,16,95.0,58.00
446,Saint-Emilion,92.0,16,94.0,55.00
447,Pauillac,95.0,17.5,98.0,249.67
448,Saint-Estèphe,91.0,17.5,94.0,35.00
449,Saint-Emilion,93.0,16,95.0,39.00
450,Pessac-Léognan,92.0,15.5,93.0,47.00
451,Saint-Emilion,100.0,18,99.0,240.00
452,Margaux,94.0,17,95.0,67.00
453,Fronsac,86.0,15.5,91.5,19.00
454,Pessac-Léognan,90.0,16.5,93.0,41.00
455,Saint-Estèphe,,,,20.00
456,Pauillac,91.0,16,92.5,31.50
457,Saint-Emilion,95.0,16,97.0,107.00
458,Saint-Emilion,94.0,16.5,98.0,120.00
459,Margaux,88.0,16.5,94.0,28.08
460,Haut-Médoc,,16,94.0,32.00
461,Lalande de Pomerol,89.0,,91.0,21.00
462,Pauillac,92.0,17.5,96.0,279.00
463,Haut-Médoc,91.0,16,92.0,35.00
464,Saint-Emilion,92.0,,92.0,35.00
465,Pomerol,93.0,17,95.0,99.00
466,Fronsac,88.0,,89.5,13.50
467,Listrac,86.0,15.5,89.0,15.00
468,Castillon Côtes de Bordeaux,92.0,16.5,94.0,27.50
469,Saint-Emilion,93.0,15.5,,38.00
470,Pauillac,94.0,17,96.5,79.00
