,Appellation,Robert,Robinson,Suckling,Prix
2309,Haut-Médoc,90.0,15.5,94.0,64.00
2310,Saint-Emilion,91.0,16,94.5,39.20
2311,Saint-Estèphe,83.0,17,92.0,95.00
2312,Pessac-Léognan,97.0,17,98.0,197.00
2313,Pauillac,95.0,18,,1190.00
2314,Pessac-Léognan,88.0,17,91.0,220.00
2315,Pauillac,,,,29.00
2316,Saint-Estèphe,92.0,15,91.0,45.30
2317,Haut-Médoc,,15.5,91.5,84.17
2318,Pauillac,91.0,17,92.5,350.00
2319,Saint-Emilion,,15.5,93.5,48.17
2320,Pauillac,,,,40.83
2321,Saint-Emilion,93.0,15,,140.00
2322,Margaux,92.0,16.5,96.0,1475.00
2323,Pessac-Léognan,94.0,16,92.5,260.00
2324,Fronsac,90.0,16.5,93.0,133.00
2325,Haut-Médoc,,16,90.5,72.08
2326,Pauillac,91.0,15,93.0,160.00
2327,Saint-Emilion,90.0,15.5,91.0,36.50
2328,Saint-Emilion,89.0,,,125.00
2329,Haut-Médoc,,15,90.5,19.80
2330,Saint-Emilion,87.0,16,90.5,41.40
2331,Haut-Médoc,,16,91.5,23.00
2332,Sauternes,,,88.5,24.00
2333,Castillon Côtes de Bordeaux,87.5,,90.5,52.50
2334,Saint-Emilion,95.0,17.5,94.0,1350.00
2335,Saint-Emilion,,16,94.5,41.00
2336,Saint-Emilion,93.0,16.5,97.5,157.17
2337,Pauillac,91.0,16,95.0,64.30
2338,Moulis,88.0,16,91.0,37.30
2339,Castillon Côtes de Bordeaux,,,93.0,89.00
2340,Pomerol,91.0,15.5,95.0,42.50
2341,Saint-Estèphe,94.0,17.5,93.0,690.00
2342,Lalande de Pomerol,91.0,16,93.0,80.00
2343,Haut-Médoc,,16.5,92.0,22.00
2344,Barsac,,17,,156.00
2345,Haut-Médoc,,,,216.00
2346,Pomerol,92.0,16.5,91.5,79.50
2347,Saint-Emilion,91.0,,93.0,36.00
2348,Pessac-Léognan,92.0,16,,815.00
2349,Pessac-Léognan,91.0,16,92.5,26.20
2350,Pauillac,96.0,17.5,96.0,850.00
2351,Saint-Julien,94.0,15.5,,245.00
2352,Pessac-Léognan,98.0,16.5,98.5,128.00
2353,Saint-Julien,,15,,63.00
2354,Saint-Emilion,92.0,14.5,100.0,196.00
2355,Pessac-Léognan,95.0,17.5,97.0,3500.00
2356,Pauillac,97.0,17.5,100.0,965.00
2357,Margaux,88.0,14.5,91.0,68.70
2358,Saint-Emilion,,,98.5,91.00
2359,Haut-Médoc,87.0,16,92.0,25.00
2360,Margaux,94.0,16.5,95.0,730.00
2361,Bordeaux Blancs Secs,90.0,,94.0,72.00
2362,Margaux,93.0,15,94.0,72.00
2363,Pauillac,87.0,17,92.0,1660.00
2364,Listrac,,,,395.00
2365,Saint-Estèphe,100.0,18,98.0,4700.00
2366,Saint-Julien,88.0,,93.5,167.60
2367,Pomerol,,,,150.00
2368,Bordeaux Blancs Secs,93.0,17.5,97.0,428.33
2369,Pauillac,100.0,18,98.0,1250.00
2370,Saint-Emilion,91.0,16.5,95.0,295.00
2371,Saint-Julien,95.0,16,94.0,1790.00
2372,Sauternes,,,,294.17
2373,Saint-Julien,,16,,57.00
2374,Lalande de Pomerol,,,91.0,22.00
2375,Margaux,89.0,16.5,90.0,99.00
2376,Saint-Emilion,100.0,18.5,100.0,640.00
2377,Pomerol,,16.5,94.0,62.30
2378,Saint-Emilion,94.0,16.5,94.5,38.20
2379,Pomerol,90.0,15.5,94.0,133.00
2380,Saint-Emilion,,,94.0,230.00
2381,Barsac,90.0,16.5,94.0,58.90
2382,Médoc,,,,185.00
2383,Pomerol,97.0,16.5,98.0,195.00
2384,Saint-Emilion,95.0,,93.5,335.00
2385,Fronsac,90.0,16.5,95.0,28.00
2386,Saint-Emilion,97.0,18,98.0,970.00
2387,Saint-Emilion,92.0,16.5,95.0,635.00
2388,Saint-Julien,91.0,,,395.33
2389,Saint-Estèphe,86.0,,,275.00
2390,Pomerol,,,92.5,185.00
2391,Listrac,,16,90.5,76.67
2392,Sauternes,,17.5,90.5,59.20
2393,Saint-Julien,89.0,,,299.00
2394,Pomerol,87.0,,,69.00
2395,Pessac-Léognan,96.0,17.5,,623.30
2396,Margaux,100.0,18,,2990.00
2397,Pauillac,93.0,16.5,94.5,89.70
2398,Saint-Emilion,91.0,,91.0,41.00
2399,Saint-Emilion,,16,96.5,540.00
2400,Saint-Emilion,,16.5,95.0,99.67
2401,Castillon Côtes de Bordeaux,87.0,15.5,91.5,75.42
2402,Pauillac,93.0,17,93.0,220.00
2403,Pessac-Léognan,,16.5,,34.30
2404,Margaux,94.0,17,95.5,200.33
2405,Margaux,80.0,,,1250.00
2406,Sauternes,91.0,16,,64.30
2407,Saint-Emilion,95.0,17,,950.00
2408,Pessac-Léognan,90.0,15,89.5,56.00
2409,Saint-Julien,94.0,16.5,97.0,74.83
2410,Pauillac,95.0,17,95.0,260.00
2411,Pauillac,98.0,18,96.0,7610.00
2412,Saint-Emilion,90.0,15.5,93.0,38.20
2413,Saint-Estèphe,93.0,16.5,93.0,270.00
2414,Pauillac,94.0,15.5,97.0,133.10
2415,Margaux,91.0,16,93.5,33.75
2416,Pessac-Léognan,98.0,18.5,97.0,5800.00
2417,Pessac-Léognan,85.0,14,,109.00
2418,Pauillac,95.0,17.5,95.0,8990.00
2419,Saint-Emilion,90.0,15.5,91.5,152.50
2420,Pauillac,88.0,16.5,93.5,41.17
2421,Saint-Julien,,,92.5,110.83
2422,Pauillac,90.0,16.5,92.0,118.40
2423,Saint-Emilion,91.0,,,1720.00
2424,Saint-Estèphe,92.0,18,95.0,71.40
2425,Haut-Médoc,90.0,16,90.5,42.50
2426,Pomerol,,16,92.0,42.70
2427,Pomerol,,,,180.00
2428,Pauillac,94.0,16.5,95.0,223.70
2429,Bordeaux Blancs Secs,95.0,16.5,98.0,445.00
2430,Pauillac,88.0,,92.5,201.67
2431,Lalande de Pomerol,91.0,,93.0,81.00
2432,Fronsac,92.0,,92.5,18.70
2433,Margaux,88.0,15.5,,360.00
2434,Pauillac,91.0,16.5,94.0,425.00
2435,Saint-Emilion,,,,33.80
2436,Saint-Emilion,92.0,17,99.0,780.00
2437,Saint-Emilion,83.0,16.5,,1195.00
2438,Pauillac,96.0,17.5,,465.00
2439,Pessac-Léognan,93.0,16.5,95.0,219.40
2440,Pomerol,,,,349.17
2441,Pauillac,89.0,15.5,,162.14
2442,Saint-Emilion,87.0,18.5,,1710.00
2443,Bordeaux,,,,60.00
2444,Saint-Julien,94.0,16,93.0,97.00
2445,Margaux,,15.5,92.5,19.08
2446,Sauternes,94.0,,,41.40
2447,Pauillac,84.0,16,,250.00
2448,Saint-Emilion,91.0,,92.5,25.17
2449,Saint-Emilion,98.0,17.5,,730.00
2450,Pomerol,97.0,18,98.0,450.00
2451,Pomerol,94.0,15,96.0,4100.00
2452,Pauillac,95.0,18,,2750.00
2453,Barsac,93.0,17,,44.70
2454,Saint-Emilion,88.0,15,,124.00
2455,Saint-Emilion,90.0,18,,2495.00
2456,Saint-Emilion,95.0,17.5,99.0,1045.00
2457,Saint-Julien,98.0,,,4200.00
2458,Margaux,95.0,17,97.0,765.00
2459,Pauillac,91.0,16.5,,155.71
2460,Saint-Emilion,95.0,18.5,,1760.00
2461,Saint-Emilion,98.0,16.5,,467.00
2462,Pomerol,88.0,16.5,94.0,124.70
2463,Saint-Estèphe,93.0,16.5,95.0,106.00
2464,Sauternes,,17,,33.58
2465,Saint-Julien,91.0,16,95.5,358.60
2466,Pomerol,,,92.5,147.50
2467,Pomerol,,,,285.00
2468,Haut-Médoc,90.0,16.5,,750.00
2469,Saint-Estèphe,,16.5,93.0,42.67
2470,Margaux,86.0,16.5,,1175.00
2471,Haut-Médoc,,16,94.5,54.00
2472,Margaux,91.5,16.5,95.5,630.00
2473,Bordeaux Blancs Secs,93.0,17,99.0,420.00
2474,Pauillac,92.0,17,95.0,238.57
2475,Montagne-Saint-Emilion,,,92.0,32.17
2476,Pessac-Léognan,77.0,15.5,,1260.00
2477,Bordeaux Blancs Secs,89.5,,,19.30
2478,Pessac-Léognan,,15.5,92.0,25.10
2479,Puisseguin-Saint-Emilion,86.0,,91.0,29.40
2480,Saint-Julien,98.0,17,95.0,430.00
2481,Saint-Julien,90.0,,93.0,200.00
2482,Pauillac,96.0,18,95.5,314.00
2483,Saint-Julien,93.0,16.5,95.0,254.40
2484,Pauillac,90.0,17,93.0,275.00
2485,Haut-Médoc,82.0,15.5,,35.00
2486,Saint-Julien,95.0,16.5,97.0,445.00
2487,Margaux,,17.5,91.5,60.00
2488,Saint-Julien,89.0,17,,186.40
2489,Pauillac,93.0,16,95.0,329.00
2490,Pessac-Léognan,96.0,17.5,97.0,414.00
2491,Pessac-Léognan,91.0,16,,420.00
2492,Saint-Estèphe,97.0,17.5,96.0,216.00
2493,Saint-Emilion,95.0,17.5,93.0,1255.00
2494,Pessac-Léognan,90.0,15,,1250.00
2495,Pessac-Léognan,90.0,16.5,98.0,530.00
2496,Pomerol,95.0,18,95.0,229.30
2497,Sauternes,,19,,17280.00
2498,Pessac-Léognan,95.0,15.5,,765.00
2499,Saint-Emilion,93.0,15,95.0,198.00
2500,Pessac-Léognan,90.0,16.5,,855.00
2501,Margaux,94.0,16.5,,420.00
2502,Sauternes,87.0,17,97.0,50.00
2503,Margaux,,16,92.5,172.50
2504,Saint-Emilion,,15.5,94.0,60.00
2505,Montagne-Saint-Emilion,,,88.5,83.40
2506,Pessac-Léognan,87.0,16.5,,765.00
2507,Pessac-Léognan,91.0,15.5,94.0,165.00
2508,Saint-Estèphe,93.0,,,625.00
2509,Pessac-Léognan,85.0,15.5,,470.00
2510,Pessac-Léognan,94.0,15.5,92.0,760.00
2511,Margaux,93.0,17,,735.00
2512,Saint-Emilion,86.0,,91.0,26.20
2513,Pauillac,91.5,16.5,95.5,40.90
2514,Saint-Julien,98.0,17.5,,915.00
2515,Bordeaux,,,,60.00
2516,Saint-Estèphe,94.0,17,,1075.00
2517,Margaux,92.0,16.5,92.0,106.40
2518,Saint-Estèphe,87.0,17.5,,494.00
2519,Pauillac,91.5,17.5,94.0,4275.00
2520,Pauillac,89.0,17,93.0,650.00
2521,Pessac-Léognan,90.0,15.5,,3990.00
2522,Canon-Fronsac,89.0,,,195.00
2523,Margaux,88.0,16,,780.00
2524,Margaux,89.0,16,95.0,53.40
2525,Pessac-Léognan,88.0,15.5,,650.00
2526,Moulis,93.0,16,92.5,545.00
2527,Margaux,94.0,17.5,,895.00
2528,Pessac-Léognan,90.0,17,92.0,530.00
2529,Saint-Julien,95.0,16.5,93.0,285.00
2530,Saint-Emilion,,,,4095.00
2531,Saint-Emilion,92.0,16,95.5,106.00
2532,Saint-Emilion,88.0,15.5,92.5,22.83
2533,Pauillac,94.0,17.5,94.0,1825.00
2534,Pessac-Léognan,76.0,15,,3185.00
2535,Graves,,16.5,91.5,15.80
2536,Margaux,93.0,16.5,95.5,43.60
2537,Pomerol,,,95.5,345.00
2538,Margaux,89.0,16.5,,1300.00
2539,Pessac-Léognan,93.0,17,93.0,530.00
2540,Pomerol,91.0,17,97.5,222.50
