Appellation,Robert,Robinson,Suckling,Prix
Saint-Emilion,100,18,99,240.00
Margaux,94,17,95,67.00
Fronsac,86,15.5,91.5,19.00
Pessac-Léognan,90,16.5,93,41.00
Saint-Estèphe,None,None,None,20.00
Pauillac,91.0,16,92.5,31.50
Saint-Emilion,95,16,97,107.00
Saint-Emilion,94.0,16.5,98,120.00
Margaux,88.0,16.5,94,28.08
Haut-Médoc,None,16,94,32.00
Lalande de Pomerol,89.0,None,91,21.00
Pauillac,92,17.5,96,279.00
Haut-Médoc,91,16,92,35.00
Saint-Emilion,92,None,92,35.00
Pomerol,93,17,95,99.00
Fronsac,88,None,89.5,13.50
Listrac,86.0,15.5,89,15.00
Castillon Côtes de Bordeaux,92,16.5,94,27.50
Saint-Emilion,93,15.5,None,38.00
Pauillac,94,17,96.5,79.00
Saint-Julien,93,17.5,97,69.00
Pessac-Léognan,98,18.5,100,740.00
Haut-Médoc,90.0,14.5,91,17.50
Canon-Fronsac,92,None,91,27.00
Pauillac,94.0,16.5,96,85.00
Saint-Emilion,87,15.5,None,40.00
Haut-Médoc,93,None,95,43.67
Saint-Estèphe,94,16.5,98,265.00
Pomerol,91.0,None,92,90.00
Médoc,86,15,90,29.00
Saint-Estèphe,78,14,94,43.33
Pessac-Léognan,88,16.5,93,35.00
Pessac-Léognan,99,17.5,98,775.00
Saint-Emilion,90,14.5,92,35.00
Saint-Emilion,97,17.5,97,85.00
Bordeaux Blancs Secs,None,14.5,None,24.00
Saint-Emilion,95,16.5,97,114.33
Saint-Emilion,98,16.5,97,134.17
Pauillac,88,17,93,56.00
Pomerol,92,16.5,93,107.00
Médoc,90.0,16,93.5,23.50
Saint-Emilion,90,15.5,92,22.50
Saint-Emilion,93.0,16,93.5,30.50
Saint-Emilion,93,15.5,95,38.00
Pomerol,None,None,None,38.00
Pessac-Léognan,94,16.5,99.5,153.00
Bordeaux Blancs Secs,88.0,None,None,12.50
Pomerol,89,16,93,39.00
Margaux,93,16,93,52.00
Saint-Julien,94,16.5,95,63.00
Haut-Médoc,None,None,92,21.00
Saint-Estèphe,93.0,None,94.5,42.00
Saint-Emilion,87.0,14.5,89,20.00
Pauillac,None,None,92.5,33.00
Saint-Emilion,92,16,91,25.50
Saint-Emilion,91,15.5,94,23.50
Pessac-Léognan,97,18,98,799.33
Pessac-Léognan,95.0,16.5,97.5,66.00
Pauillac,93,16,93,254.00
Saint-Julien,93.0,16.5,94.5,54.00
Saint-Emilion,88.0,15.5,88.5,21.00
Saint-Estèphe,91,16.5,93,29.00
Saint-Emilion,91,15.5,93,24.50
Barsac,95.0,16.5,92,45.00
Pauillac,100,17,99,1 290.00
Pomerol,None,16.5,95,33.00
Saint-Emilion,95,16,97,110.00
Pomerol,93,16.5,96,99.00
Haut-Médoc,86,16,88.5,16.00
Margaux,90,None,97,70.67
Saint-Emilion,90,16,94,23.00
Pomerol,93.0,16.5,94,72.83
Saint-Julien,91.0,16.5,93.5,32.50
Saint-Julien,91,16.5,94,55.00
Saint-Julien,94,17,93.5,89.00
Saint-Emilion,89.0,16,93,28.50
Haut-Médoc,90,14,None,61.00
Saint-Emilion,93,16.5,95,36.42
Margaux,90.0,16.5,94.5,30.17
Saint-Emilion,95,16.5,97,139.00
Pessac-Léognan,92,17,94,34.33
Pomerol,93,16,94,105.00
Saint-Emilion,86,16,92,19.50
Pessac-Léognan,92.5,15,95,91.00
Pessac-Léognan,91,None,94,26.00
Saint-Emilion,90,15.5,92,22.50
Pessac-Léognan,93.0,17.5,97,97.00
Pomerol,93,None,94,85.00
Pauillac,92.0,None,94.5,51.17
Saint-Estèphe,90,16.5,93,59.00
Moulis,90.0,15.5,92.5,29.33
Pessac-Léognan,90.0,16.5,92,29.50
Moulis,90.0,16.5,92.5,25.00
Barsac,94,17.5,None,124.83
Pessac-Léognan,92.0,16,93.5,33.00
Saint-Emilion,98.0,18,100,395.00
Saint-Emilion,91,15,92,23.50
Saint-Emilion,None,16.5,94.5,66.00
Saint-Emilion,91.0,16.5,94,24.50
Pessac-Léognan,88,None,93,22.33
Lalande de Pomerol,None,17,91,20.00
Haut-Médoc,None,None,90,16.50
Saint-Estèphe,92.0,17,95,62.00
Saint-Estèphe,94,18,99,282.00
Margaux,85,15,93,47.00
Pauillac,92.0,16.5,92,54.00
Saint-Emilion,89,14.5,92,93.00
Puisseguin-Saint-Emilion,88,None,93.5,51.67
